"Station_Name","Station_ID"
"Arnot","1"
"Camden","2"
"Duvha","3"
"Grootvlei","4"
"Hendrina","5"
"Kelvin","6"
"Kendal","7"
"Komati","8"
"Kriel","9"
"Kusile","10"
"Lethabo","11"
"Majuba","12"
"Matimba","13"
"Matla","14"
"Medupi","15"
"Pretoria West","16"
"Rooiwal","17"
"Tutuka","18"
"Acacia","19"
"Ankerlig","20"
"Gourikwa","21"
"Newcastle","22"
"Port Rex","23"
"Avon","24"
"Dedisa","25"
"Tubatse","26"
"Ingula","27"
"Drakensberg","28"
"Gariep","29"
"Palmiet","30"
"Steenbras","31"
"Vanderkloof","32"
"Colley Wobbles","33"
"Ncora Dam","34"
"Sol Plaatje","35"
"Merino","36"
"Kakamas","37"
"Kruisvallei","38"
"Koeberg","39"
"Klipheuwel","40"
"Sere","41"
"First Falls","42"
"Second Falls","43"
