"station_name","total_installed_capacity","total_nominal_capacity","location","station_type"
"Arnot","2352","2232","Middelburg","Coal"
"Camden'","1561","1481","Ermelo","Coal"
"Duvha'","3000","2875","Emalahleni","Coal"
"Grootyleil.'","I 180","570","Balfour","Coal"
"Hendrina'","1728","1293","Middelburg","Coal"
"Kendal'","4116","3840","Emalahleni","Coal"
"Komar 2","990","410","Middelburg","Coal"
"Kriel","3000","2850","Bethal","Coal"
"Kusile'","799","720","Ogies","Coal"
"Lethabo","3708","3558","Vereeniging","Coal"
"Majuba'","4110","3843","Volksrust","Coal"
"Matimba'","3990","3690","Lephalale","Coal"
"Matla","3600","3450","Bethal","Coal"
"Medupi'","2382","2157","Lephalale","Coal"
"Tutuka","3654","3510","Standerton","Coal"
"Koeberg","1940","1 860","Cape Town","Nuclear"
"Acacia","171","171"," Cape Town ","Gas/liquid fuel turbine stations"
"Ankerlig ","1338","1327","Atlantis","Gas/liquid fuel turbine stations"
"Gourikwa ","746","740","Mossel Bay","Gas/liquid fuel turbine stations"
"Port Rex ","171","171","East London ","Gas/liquid fuel turbine stations"
"Drakensberg ","1000","1000","Bergville","Pumped storage schemes"
"Ingula","1332","1324"," Ladysmith","Pumped storage schemes"
"Palmiet","400","400"," Grabouw ","Pumped storage schemes"
"Gariep ","360","360","Norvalspont ","Hydroelectric stations"
"Vanderkloof","240","240"," Petrusville ","Hydroelectric stations"
"Sere","100","100"," Vredendal ","Wind energy"
"Colley Wobbles","42","0","Mbashe River","Hydroelectric stations"
"First Falls","6","0","Umtata River","Hydroelectric stations"
"Ncora","2","0","Ncora River","Hydroelectric stations"
"Second Falls","11","0","Umtata River","Hydroelectric stations"
